datetime,open,high,low,close,volume,contract
2025-02-21,3099.6,3099.6,3099.6,3099.6,0.0,MGCJ6
2025-02-24,3111.5,3111.5,3111.5,3111.5,0.0,MGCJ6
2025-02-25,3063.3,3066.5,3063.3,3066.5,1.0,MGCJ6
2025-02-26,3078.9,3078.9,3078.9,3078.9,0.0,MGCJ6
2025-02-27,3055.2,3055.2,3038.0,3043.9,5.0,MGCJ6
2025-02-28,3023.8,3023.8,2995.0,2995.0,2.0,MGCJ6
2025-03-03,3049.2,3049.2,3049.2,3049.2,0.0,MGCJ6
2025-03-04,3068.3,3068.3,3068.3,3068.3,0.0,MGCJ6
2025-03-05,3073.2,3073.2,3073.2,3073.2,0.0,MGCJ6
2025-03-06,3074.0,3074.0,3074.0,3074.0,0.0,MGCJ6
2025-03-07,3060.2,3060.2,3060.2,3060.2,0.0,MGCJ6
2025-03-10,3043.5,3043.5,3043.5,3043.5,0.0,MGCJ6
2025-03-11,3066.0,3066.0,3066.0,3066.0,0.0,MGCJ6
2025-03-12,3090.9,3090.9,3090.9,3090.9,0.0,MGCJ6
2025-03-13,3088.0,3136.4,3088.0,3136.4,17.0,MGCJ6
2025-03-14,3156.0,3156.0,3133.8,3145.6,3.0,MGCJ6
2025-03-17,3146.6,3150.7,3146.5,3150.7,20.0,MGCJ6
2025-03-18,3190.5,3190.5,3187.0,3188.7,3.0,MGCJ6
2025-03-19,3189.6,3189.6,3189.6,3189.6,0.0,MGCJ6
2025-03-20,3191.0,3191.0,3191.0,3191.0,0.0,MGCJ6
2025-03-21,3164.3,3164.3,3164.3,3164.3,0.0,MGCJ6
2025-03-24,3159.0,3159.0,3159.0,3159.0,0.0,MGCJ6
2025-03-25,3160.0,3170.4,3160.0,3170.4,2.0,MGCJ6
2025-03-26,3167.0,3167.0,3167.0,3167.0,0.0,MGCJ6
2025-03-27,3176.2,3206.2,3170.3,3206.2,4.0,MGCJ6
2025-03-28,3229.3,3230.7,3225.0,3230.4,17.0,MGCJ6
2025-03-31,3233.3,3276.2,3233.3,3267.5,11.0,MGCJ6
2025-04-01,3274.0,3287.5,3259.9,3263.0,12.0,MGCJ6
2025-04-02,3276.0,3288.7,3276.0,3285.0,12.0,MGCJ6
2025-04-03,3294.0,3301.0,3217.0,3239.0,10.0,MGCJ6
2025-04-04,3256.0,3256.0,3148.0,3148.0,49.0,MGCJ6
2025-04-07,3107.0,3170.0,3085.9,3085.9,39.0,MGCJ6
2025-04-08,3118.5,3140.5,3105.2,3105.2,9.0,MGCJ6
2025-04-09,3114.9,3228.0,3114.9,3200.4,33.0,MGCJ6
2025-04-10,3277.0,3317.0,3277.0,3300.9,13.0,MGCJ6
2025-04-11,3330.0,3386.5,3330.0,3373.9,102.0,MGCJ6
2025-04-14,3370.5,3370.6,3352.8,3352.8,2.0,MGCJ6
2025-04-15,3361.7,3367.6,3361.7,3367.6,1.0,MGCJ6
2025-04-16,3406.0,3478.0,3406.0,3478.0,6.0,MGCJ6
2025-04-17,3458.0,3470.3,3426.8,3459.4,10.0,MGCJ6
2025-04-21,3466.0,3568.0,3466.0,3558.2,17.0,MGCJ6
2025-04-22,3592.0,3622.9,3531.4,3553.3,20.0,MGCJ6
2025-04-23,3475.1,3487.0,3415.0,3425.9,16.0,MGCJ6
2025-04-24,3450.0,3485.0,3450.0,3482.5,17.0,MGCJ6
2025-04-25,3503.0,3515.5,3410.1,3430.6,18.0,MGCJ6
2025-04-28,3452.0,3494.2,3429.9,3480.7,16.0,MGCJ6
2025-04-29,3481.4,3481.4,3449.7,3466.0,9.0,MGCJ6
2025-04-30,3446.3,3455.0,3407.6,3449.2,8.0,MGCJ6
2025-05-01,3410.0,3410.0,3350.4,3350.4,13.0,MGCJ6
2025-05-02,3368.5,3381.0,3360.0,3372.5,10.0,MGCJ6
2025-05-05,3455.0,3468.8,3450.0,3454.6,6.0,MGCJ6
2025-05-06,3479.0,3557.6,3469.3,3557.6,28.0,MGCJ6
2025-05-07,3540.0,3540.0,3527.6,3527.6,1.0,MGCJ6
2025-05-08,3490.0,3490.0,3430.0,3439.6,8.0,MGCJ6
2025-05-09,3456.0,3477.8,3456.0,3477.8,3.0,MGCJ6
2025-05-12,3420.0,3420.4,3355.0,3360.6,20.0,MGCJ6
2025-05-13,3374.0,3395.0,3370.9,3382.0,7.0,MGCJ6
2025-05-14,3330.7,3330.7,3313.4,3320.2,9.0,MGCJ6
2025-05-15,3320.0,3365.0,3260.0,3357.3,54.0,MGCJ6
2025-05-16,3378.0,3381.5,3290.0,3316.8,24.0,MGCJ6
2025-05-19,3373.3,3380.9,3340.0,3365.6,13.0,MGCJ6
2025-05-20,3361.1,3428.8,3361.1,3415.7,35.0,MGCJ6
2025-05-21,3435.0,3456.0,3420.9,3447.4,26.0,MGCJ6
2025-05-22,3428.7,3446.3,3428.7,3428.9,5.0,MGCJ6
2025-05-23,3450.3,3501.5,3450.3,3501.5,2.0,MGCJ6
2025-05-27,3500.0,3500.0,3425.0,3436.8,24.0,MGCJ6
2025-05-28,3432.6,3447.0,3425.2,3429.4,16.0,MGCJ6
2025-05-29,3417.5,3452.5,3380.0,3448.3,38.0,MGCJ6
