datetime,open,high,low,close,volume,contract
2025-02-21,3122.1,3122.1,3122.1,3122.1,0.0,MGCM6
2025-02-24,3134.1,3134.1,3134.1,3134.1,0.0,MGCM6
2025-02-25,3089.1,3089.1,3089.1,3089.1,0.0,MGCM6
2025-02-26,3101.4,3101.4,3101.4,3101.4,0.0,MGCM6
2025-02-27,3066.4,3066.4,3066.4,3066.4,0.0,MGCM6
2025-02-28,3044.4,3044.4,3017.5,3017.5,1.0,MGCM6
2025-03-03,3071.6,3071.6,3071.6,3071.6,0.0,MGCM6
2025-03-04,3088.8,3090.6,3088.8,3090.6,1.0,MGCM6
2025-03-05,3095.4,3095.4,3095.4,3095.4,0.0,MGCM6
2025-03-06,3096.1,3096.1,3096.1,3096.1,0.0,MGCM6
2025-03-07,3081.8,3081.8,3081.8,3081.8,0.0,MGCM6
2025-03-10,3065.3,3065.3,3065.3,3065.3,0.0,MGCM6
2025-03-11,3087.7,3087.7,3087.7,3087.7,0.0,MGCM6
2025-03-12,3112.6,3112.6,3112.6,3112.6,0.0,MGCM6
2025-03-13,3158.1,3158.1,3158.1,3158.1,0.0,MGCM6
2025-03-14,3172.0,3172.0,3167.4,3167.4,1.0,MGCM6
2025-03-17,3172.5,3172.5,3172.5,3172.5,0.0,MGCM6
2025-03-18,3210.5,3210.5,3210.5,3210.5,0.0,MGCM6
2025-03-19,3211.3,3211.3,3211.3,3211.3,0.0,MGCM6
2025-03-20,3212.7,3212.7,3212.7,3212.7,0.0,MGCM6
2025-03-21,3211.4,3211.4,3175.0,3185.8,4.0,MGCM6
2025-03-24,3180.4,3180.4,3180.4,3180.4,0.0,MGCM6
2025-03-25,3191.5,3191.5,3191.5,3191.5,0.0,MGCM6
2025-03-26,3187.9,3187.9,3187.9,3187.9,0.0,MGCM6
2025-03-27,3228.2,3228.2,3227.2,3227.2,2.0,MGCM6
2025-03-28,3243.4,3251.1,3238.0,3251.1,2.0,MGCM6
2025-03-31,3291.1,3291.1,3287.0,3288.4,3.0,MGCM6
2025-04-01,3290.0,3290.0,3283.9,3283.9,2.0,MGCM6
2025-04-02,3306.0,3306.0,3306.0,3306.0,0.0,MGCM6
2025-04-03,3316.3,3316.3,3250.2,3259.9,9.0,MGCM6
2025-04-04,3168.2,3168.2,3168.2,3168.2,0.0,MGCM6
2025-04-07,3152.9,3198.7,3106.0,3106.0,4.0,MGCM6
2025-04-08,3125.4,3125.4,3125.4,3125.4,0.0,MGCM6
2025-04-09,3187.0,3222.1,3187.0,3222.1,1.0,MGCM6
2025-04-10,3266.0,3336.0,3266.0,3322.8,5.0,MGCM6
2025-04-11,3353.7,3406.1,3353.5,3397.1,15.0,MGCM6
2025-04-14,3385.0,3392.8,3367.0,3376.1,4.0,MGCM6
2025-04-15,3390.8,3390.8,3390.8,3390.8,0.0,MGCM6
2025-04-16,3501.4,3501.4,3501.4,3501.4,0.0,MGCM6
2025-04-17,3482.8,3482.8,3482.8,3482.8,0.0,MGCM6
2025-04-21,3496.6,3581.9,3496.6,3581.9,4.0,MGCM6
2025-04-22,3606.6,3610.0,3567.2,3577.1,6.0,MGCM6
2025-04-23,3499.9,3499.9,3427.2,3449.6,8.0,MGCM6
2025-04-24,3506.2,3506.2,3506.2,3506.2,0.0,MGCM6
2025-04-25,3458.3,3458.3,3454.4,3454.4,2.0,MGCM6
2025-04-28,3480.0,3504.3,3480.0,3504.3,1.0,MGCM6
2025-04-29,3489.5,3489.5,3489.5,3489.5,0.0,MGCM6
2025-04-30,3450.0,3472.5,3438.0,3472.5,3.0,MGCM6
2025-05-01,3414.1,3414.1,3370.2,3373.5,5.0,MGCM6
2025-05-02,3390.6,3395.6,3383.5,3395.6,2.0,MGCM6
2025-05-05,3478.0,3478.0,3478.0,3478.0,0.0,MGCM6
2025-05-06,3498.7,3581.5,3498.7,3581.5,6.0,MGCM6
2025-05-07,3545.0,3551.6,3545.0,3551.6,1.0,MGCM6
2025-05-08,3500.0,3500.0,3463.5,3463.5,4.0,MGCM6
2025-05-09,3470.0,3501.5,3470.0,3501.5,1.0,MGCM6
2025-05-12,3389.4,3390.3,3370.0,3384.6,6.0,MGCM6
2025-05-13,3394.6,3406.0,3394.6,3406.0,1.0,MGCM6
2025-05-14,3340.2,3343.9,3340.0,3343.9,3.0,MGCM6
2025-05-15,3338.7,3380.9,3310.0,3380.9,3.0,MGCM6
2025-05-16,3340.2,3340.2,3340.2,3340.2,0.0,MGCM6
2025-05-19,3389.0,3389.0,3389.0,3389.0,0.0,MGCM6
2025-05-20,3439.2,3439.2,3439.2,3439.2,0.0,MGCM6
2025-05-21,3471.0,3471.0,3471.0,3471.0,0.0,MGCM6
2025-05-22,3460.0,3460.0,3452.7,3452.7,2.0,MGCM6
2025-05-23,3525.7,3525.7,3525.7,3525.7,0.0,MGCM6
2025-05-27,3500.0,3500.0,3447.0,3461.3,7.0,MGCM6
2025-05-28,3459.0,3459.0,3453.9,3453.9,1.0,MGCM6
2025-05-29,3475.0,3476.0,3472.2,3472.2,2.0,MGCM6
2025-05-30,3453.4,3453.4,3443.3,3443.3,3.0,MGCM6
2025-06-02,3463.0,3527.9,3463.0,3527.9,1.0,MGCM6
2025-06-03,3530.0,3530.0,3509.7,3509.7,1.0,MGCM6
2025-06-04,3499.5,3531.1,3499.5,3531.1,2.0,MGCM6
2025-06-05,3506.2,3506.2,3506.2,3506.2,0.0,MGCM6
2025-06-06,3477.9,3477.9,3477.9,3477.9,0.0,MGCM6
2025-06-09,3485.8,3485.8,3485.8,3485.8,0.0,MGCM6
2025-06-10,3470.0,3474.3,3470.0,3474.3,2.0,MGCM6
2025-06-11,3485.0,3485.0,3473.8,3473.8,1.0,MGCM6
