datetime,open,high,low,close,volume,contract
2025-02-21,3188.5,3188.5,3188.5,3188.5,0.0,MGCZ6
2025-02-24,3200.5,3200.5,3200.5,3200.5,0.0,MGCZ6
2025-02-25,3155.6,3155.6,3155.6,3155.6,0.0,MGCZ6
2025-02-26,3166.6,3166.6,3166.6,3166.6,0.0,MGCZ6
2025-02-27,3131.8,3131.8,3131.8,3131.8,0.0,MGCZ6
2025-02-28,3082.9,3082.9,3082.9,3082.9,0.0,MGCZ6
2025-03-03,3137.0,3137.0,3137.0,3137.0,0.0,MGCZ6
2025-03-04,3155.8,3155.8,3155.8,3155.8,0.0,MGCZ6
2025-03-05,3160.6,3160.6,3160.6,3160.6,0.0,MGCZ6
2025-03-06,3161.1,3161.1,3161.1,3161.1,0.0,MGCZ6
2025-03-07,3147.3,3147.3,3147.3,3147.3,0.0,MGCZ6
2025-03-10,3130.8,3130.8,3130.8,3130.8,0.0,MGCZ6
2025-03-11,3152.9,3152.9,3152.9,3152.9,0.0,MGCZ6
2025-03-12,3177.5,3177.5,3177.5,3177.5,0.0,MGCZ6
2025-03-13,3222.5,3222.5,3222.5,3222.5,0.0,MGCZ6
2025-03-14,3231.9,3231.9,3231.9,3231.9,0.0,MGCZ6
2025-03-17,3237.1,3237.1,3237.1,3237.1,0.0,MGCZ6
2025-03-18,3275.2,3275.2,3275.2,3275.2,0.0,MGCZ6
2025-03-19,3276.1,3276.1,3276.1,3276.1,0.0,MGCZ6
2025-03-20,3277.5,3277.5,3277.5,3277.5,0.0,MGCZ6
2025-03-21,3250.5,3250.5,3250.5,3250.5,0.0,MGCZ6
2025-03-24,3244.4,3244.4,3244.4,3244.4,0.0,MGCZ6
2025-03-25,3255.4,3255.4,3255.4,3255.4,0.0,MGCZ6
2025-03-26,3251.8,3251.8,3251.8,3251.8,0.0,MGCZ6
2025-03-27,3289.4,3289.4,3289.4,3289.4,0.0,MGCZ6
2025-03-28,3313.2,3313.2,3313.2,3313.2,0.0,MGCZ6
2025-03-31,3350.2,3350.2,3350.2,3350.2,0.0,MGCZ6
2025-04-01,3345.8,3345.8,3345.8,3345.8,0.0,MGCZ6
2025-04-02,3367.6,3367.6,3367.6,3367.6,0.0,MGCZ6
2025-04-03,3321.1,3321.1,3321.1,3321.1,0.0,MGCZ6
2025-04-04,3229.4,3229.4,3229.4,3229.4,0.0,MGCZ6
2025-04-07,3229.4,3229.4,3168.2,3168.2,1.0,MGCZ6
2025-04-08,3186.5,3186.5,3186.5,3186.5,0.0,MGCZ6
2025-04-09,3283.8,3283.8,3283.8,3283.8,0.0,MGCZ6
2025-04-10,3384.1,3384.1,3384.1,3384.1,0.0,MGCZ6
2025-04-11,3459.3,3459.3,3459.3,3459.3,0.0,MGCZ6
2025-04-14,3440.8,3440.8,3440.8,3440.8,0.0,MGCZ6
2025-04-15,3455.3,3455.3,3455.3,3455.3,0.0,MGCZ6
2025-04-16,3566.0,3566.0,3566.0,3566.0,0.0,MGCZ6
2025-04-17,3547.5,3547.5,3547.5,3547.5,0.0,MGCZ6
2025-04-21,3647.7,3647.7,3647.7,3647.7,0.0,MGCZ6
2025-04-22,3645.0,3645.0,3645.0,3645.0,0.0,MGCZ6
2025-04-23,3518.0,3518.0,3518.0,3518.0,0.0,MGCZ6
2025-04-24,3574.7,3574.7,3574.7,3574.7,0.0,MGCZ6
2025-04-25,3523.2,3523.2,3523.2,3523.2,0.0,MGCZ6
2025-04-28,3573.2,3573.2,3573.2,3573.2,0.0,MGCZ6
2025-04-29,3557.6,3557.6,3557.6,3557.6,0.0,MGCZ6
2025-04-30,3540.2,3540.2,3540.2,3540.2,0.0,MGCZ6
2025-05-01,3442.2,3442.2,3442.2,3442.2,0.0,MGCZ6
2025-05-02,3464.0,3464.0,3464.0,3464.0,0.0,MGCZ6
2025-05-05,3546.2,3546.2,3546.2,3546.2,0.0,MGCZ6
2025-05-06,3650.0,3650.0,3650.0,3650.0,0.0,MGCZ6
2025-05-07,3619.6,3619.6,3619.6,3619.6,0.0,MGCZ6
2025-05-08,3532.6,3532.6,3532.6,3532.6,0.0,MGCZ6
2025-05-09,3570.6,3570.6,3570.6,3570.6,0.0,MGCZ6
2025-05-12,3454.9,3454.9,3454.9,3454.9,0.0,MGCZ6
2025-05-13,3476.1,3476.1,3476.1,3476.1,0.0,MGCZ6
2025-05-14,3413.8,3413.8,3413.8,3413.8,0.0,MGCZ6
2025-05-15,3450.7,3450.7,3450.7,3450.7,0.0,MGCZ6
2025-05-16,3409.5,3409.5,3409.5,3409.5,0.0,MGCZ6
2025-05-19,3458.2,3458.2,3458.2,3458.2,0.0,MGCZ6
2025-05-20,3508.4,3508.4,3508.4,3508.4,0.0,MGCZ6
2025-05-21,3540.1,3540.1,3540.1,3540.1,0.0,MGCZ6
2025-05-22,3522.1,3522.1,3522.1,3522.1,0.0,MGCZ6
2025-05-23,3595.5,3595.5,3595.5,3595.5,0.0,MGCZ6
2025-05-27,3531.6,3531.6,3531.6,3531.6,0.0,MGCZ6
2025-05-28,3539.7,3539.7,3524.2,3524.2,2.0,MGCZ6
2025-05-29,3542.3,3542.3,3542.3,3542.3,0.0,MGCZ6
2025-05-30,3513.1,3513.1,3513.1,3513.1,0.0,MGCZ6
2025-06-02,3597.0,3597.0,3597.0,3597.0,0.0,MGCZ6
2025-06-03,3579.9,3579.9,3579.9,3579.9,0.0,MGCZ6
2025-06-04,3601.3,3601.3,3601.3,3601.3,0.0,MGCZ6
2025-06-05,3574.6,3574.6,3574.6,3574.6,0.0,MGCZ6
2025-06-06,3546.3,3546.3,3546.3,3546.3,0.0,MGCZ6
2025-06-09,3554.8,3554.8,3554.8,3554.8,0.0,MGCZ6
2025-06-10,3543.3,3543.3,3543.3,3543.3,0.0,MGCZ6
2025-06-11,3561.6,3561.6,3542.8,3542.8,1.0,MGCZ6
2025-06-12,3599.7,3599.7,3599.7,3599.7,0.0,MGCZ6
2025-06-13,3648.8,3652.4,3648.8,3652.4,1.0,MGCZ6
2025-06-16,3635.0,3635.0,3606.8,3616.3,8.0,MGCZ6
2025-06-17,3607.1,3607.1,3607.1,3607.1,0.0,MGCZ6
2025-06-18,3607.1,3607.1,3607.1,3607.1,0.0,MGCZ6
2025-06-20,3584.9,3584.9,3584.9,3584.9,0.0,MGCZ6
2025-06-23,3593.5,3593.5,3593.5,3593.5,0.0,MGCZ6
2025-06-24,3532.1,3532.1,3532.1,3532.1,0.0,MGCZ6
2025-06-25,3541.7,3541.7,3541.7,3541.7,0.0,MGCZ6
2025-06-26,3566.0,3566.0,3546.2,3546.2,1.0,MGCZ6
2025-06-27,3507.7,3507.7,3472.0,3483.3,2.0,MGCZ6
2025-06-30,3466.2,3503.5,3463.3,3503.5,3.0,MGCZ6
2025-07-01,3546.5,3546.5,3546.5,3546.5,0.0,MGCZ6
2025-07-02,3557.7,3557.7,3557.7,3557.7,0.0,MGCZ6
2025-07-03,3545.0,3545.0,3541.9,3541.9,1.0,MGCZ6
2025-07-07,3545.0,3546.0,3541.3,3541.3,2.0,MGCZ6
2025-07-08,3517.3,3517.3,3517.3,3517.3,0.0,MGCZ6
2025-07-09,3519.7,3519.7,3519.7,3519.7,0.0,MGCZ6
2025-07-10,3525.6,3525.6,3525.6,3525.6,0.0,MGCZ6
2025-07-11,3562.2,3562.2,3562.2,3562.2,0.0,MGCZ6
2025-07-14,3560.0,3560.0,3559.6,3559.6,1.0,MGCZ6
2025-07-15,3560.0,3560.0,3535.4,3537.0,4.0,MGCZ6
2025-07-16,3558.1,3558.1,3558.1,3558.1,0.0,MGCZ6
2025-07-17,3544.8,3544.8,3544.8,3544.8,0.0,MGCZ6
2025-07-18,3557.8,3557.8,3557.8,3557.8,0.0,MGCZ6
2025-07-21,3611.5,3611.8,3609.1,3609.1,2.0,MGCZ6
2025-07-22,3649.7,3649.7,3649.7,3649.7,0.0,MGCZ6
2025-07-23,3600.0,3600.0,3599.9,3599.9,1.0,MGCZ6
2025-07-24,3576.6,3576.6,3576.6,3576.6,0.0,MGCZ6
2025-07-25,3560.0,3560.0,3534.6,3534.6,3.0,MGCZ6
2025-07-28,3510.0,3510.0,3502.0,3509.9,2.0,MGCZ6
2025-07-29,3524.4,3524.4,3524.4,3524.4,0.0,MGCZ6
2025-07-30,3503.4,3503.4,3480.0,3495.6,2.0,MGCZ6
2025-07-31,3496.4,3500.0,3492.5,3492.5,5.0,MGCZ6
2025-08-01,3497.9,3552.3,3485.9,3539.6,9.0,MGCZ6
2025-08-04,3563.3,3565.5,3563.0,3565.5,5.0,MGCZ6
2025-08-05,3573.0,3582.0,3573.0,3574.6,2.0,MGCZ6
2025-08-06,3572.4,3572.4,3572.4,3572.4,0.0,MGCZ6
2025-08-07,3577.0,3595.0,3575.0,3587.2,11.0,MGCZ6
2025-08-08,3640.0,3640.0,3600.0,3621.4,5.0,MGCZ6
2025-08-11,3552.3,3552.3,3539.9,3550.5,4.0,MGCZ6
2025-08-12,3540.0,3544.8,3530.0,3542.9,11.0,MGCZ6
2025-08-13,3555.1,3555.1,3552.2,3552.2,2.0,MGCZ6
2025-08-14,3525.7,3525.7,3525.7,3525.7,0.0,MGCZ6
2025-08-15,3523.7,3523.7,3523.7,3523.7,0.0,MGCZ6
2025-08-18,3520.1,3524.1,3517.9,3517.9,4.0,MGCZ6
2025-08-19,3500.0,3500.0,3498.2,3498.2,1.0,MGCZ6
2025-08-20,3535.5,3535.5,3529.4,3529.4,1.0,MGCZ6
2025-08-21,3525.0,3525.0,3522.9,3522.9,1.0,MGCZ6
2025-08-22,3559.6,3559.6,3559.6,3559.6,0.0,MGCZ6
2025-08-25,3550.3,3558.9,3550.3,3558.9,2.0,MGCZ6
2025-08-26,3542.5,3577.4,3540.0,3576.2,6.0,MGCZ6
2025-08-27,3579.4,3595.3,3579.4,3595.3,2.0,MGCZ6
2025-08-28,3597.7,3620.0,3597.7,3619.4,8.0,MGCZ6
2025-08-29,3610.0,3662.7,3610.0,3662.7,3.0,MGCZ6
2025-09-02,3700.0,3745.0,3685.3,3740.3,26.0,MGCZ6
