datetime,open,high,low,close,volume,contract
2025-02-21,3085.9,3085.9,3067.0,3078.1,13.0,MGCG6
2025-02-24,3081.0,3096.0,3081.0,3089.6,10.0,MGCG6
2025-02-25,3095.1,3095.1,3035.0,3044.6,30.0,MGCG6
2025-02-26,3053.4,3057.1,3050.5,3057.1,3.0,MGCG6
2025-02-27,3024.0,3029.4,3009.0,3022.1,14.0,MGCG6
2025-02-28,3000.0,3000.0,2973.3,2973.3,2.0,MGCG6
2025-03-03,3000.0,3028.7,3000.0,3027.5,3.0,MGCG6
2025-03-04,3024.8,3060.0,3024.8,3046.9,11.0,MGCG6
2025-03-05,3065.0,3067.2,3049.0,3051.8,5.0,MGCG6
2025-03-06,3051.3,3055.9,3034.9,3052.7,8.0,MGCG6
2025-03-07,3040.9,3058.0,3039.4,3039.4,14.0,MGCG6
2025-03-10,3043.8,3050.0,3022.5,3022.5,13.0,MGCG6
2025-03-11,3048.4,3048.4,3036.1,3045.0,3.0,MGCG6
2025-03-12,3049.0,3070.0,3033.9,3070.0,7.0,MGCG6
2025-03-13,3067.9,3121.3,3066.9,3115.5,23.0,MGCG6
2025-03-14,3122.0,3135.7,3115.0,3124.7,27.0,MGCG6
2025-03-17,3120.0,3132.0,3114.1,3129.8,31.0,MGCG6
2025-03-18,3146.0,3173.0,3144.4,3167.6,36.0,MGCG6
2025-03-19,3165.0,3182.7,3162.0,3168.0,19.0,MGCG6
2025-03-20,3189.3,3189.3,3169.4,3169.4,13.0,MGCG6
2025-03-21,3167.0,3168.8,3130.9,3143.3,28.0,MGCG6
2025-03-24,3154.7,3154.7,3133.1,3138.2,17.0,MGCG6
2025-03-25,3135.7,3158.6,3135.7,3149.5,13.0,MGCG6
2025-03-26,3144.7,3154.8,3144.1,3146.3,10.0,MGCG6
2025-03-27,3158.0,3195.2,3155.6,3185.4,34.0,MGCG6
2025-03-28,3197.7,3215.3,3196.6,3209.2,77.0,MGCG6
2025-03-31,3217.0,3256.3,3208.5,3246.4,60.0,MGCG6
2025-04-01,3252.6,3270.8,3238.0,3242.1,49.0,MGCG6
2025-04-02,3241.2,3295.0,3239.7,3263.6,40.0,MGCG6
2025-04-03,3261.8,3283.4,3179.5,3218.1,114.0,MGCG6
2025-04-04,3215.0,3250.0,3127.8,3127.8,101.0,MGCG6
2025-04-07,3093.4,3160.9,3065.8,3065.8,138.0,MGCG6
2025-04-08,3104.3,3120.3,3082.8,3084.7,62.0,MGCG6
2025-04-09,3089.2,3203.0,3078.0,3178.1,97.0,MGCG6
2025-04-10,3185.6,3294.5,3185.6,3277.9,101.0,MGCG6
2025-04-11,3311.1,3364.9,3310.0,3350.2,97.0,MGCG6
2025-04-14,3342.7,3361.3,3317.5,3329.3,83.0,MGCG6
2025-04-15,3336.8,3349.8,3335.6,3344.1,26.0,MGCG6
2025-04-16,3360.2,3460.0,3360.2,3453.9,36.0,MGCG6
2025-04-17,3475.0,3475.0,3409.8,3435.7,54.0,MGCG6
2025-04-21,3449.6,3549.8,3449.6,3534.3,77.0,MGCG6
2025-04-22,3554.6,3609.5,3489.4,3529.0,204.0,MGCG6
2025-04-23,3450.0,3504.1,3389.4,3401.7,110.0,MGCG6
2025-04-24,3430.4,3477.2,3428.7,3458.3,75.0,MGCG6
2025-04-25,3481.7,3481.7,3386.4,3406.6,98.0,MGCG6
2025-04-28,3421.2,3469.7,3386.9,3456.7,87.0,MGCG6
2025-04-29,3459.2,3459.2,3427.0,3441.9,20.0,MGCG6
2025-04-30,3430.8,3438.1,3385.0,3426.0,28.0,MGCG6
2025-05-01,3402.0,3402.0,3316.0,3327.3,135.0,MGCG6
2025-05-02,3349.8,3377.0,3336.8,3349.2,107.0,MGCG6
2025-05-05,3383.5,3450.0,3368.6,3431.0,62.0,MGCG6
2025-05-06,3455.7,3555.0,3441.8,3533.7,68.0,MGCG6
2025-05-07,3559.5,3559.5,3480.0,3503.6,67.0,MGCG6
2025-05-08,3484.6,3528.6,3412.0,3416.1,109.0,MGCG6
2025-05-09,3430.9,3459.1,3390.4,3454.2,200.0,MGCG6
2025-05-12,3385.4,3400.2,3321.0,3336.8,147.0,MGCG6
2025-05-13,3347.5,3375.0,3335.0,3358.0,62.0,MGCG6
2025-05-14,3364.1,3367.7,3282.9,3296.6,87.0,MGCG6
2025-05-15,3294.0,3349.0,3242.5,3333.9,100.0,MGCG6
2025-05-16,3353.6,3356.4,3286.2,3293.7,51.0,MGCG6
2025-05-19,3339.6,3356.6,3319.0,3342.0,72.0,MGCG6
2025-05-20,3336.0,3405.7,3320.7,3392.4,51.0,MGCG6
2025-05-21,3410.8,3435.4,3398.6,3423.6,93.0,MGCG6
2025-05-22,3431.8,3457.1,3395.0,3405.3,107.0,MGCG6
2025-05-23,3409.0,3477.8,3405.5,3477.4,110.0,MGCG6
2025-05-27,3455.2,3469.8,3398.3,3412.3,175.0,MGCG6
2025-05-28,3414.7,3433.4,3388.7,3405.1,86.0,MGCG6
2025-05-29,3393.0,3433.9,3354.1,3424.6,68.0,MGCG6
2025-05-30,3416.3,3416.3,3383.1,3395.8,78.0,MGCG6
2025-06-02,3411.1,3485.5,3411.0,3479.3,119.0,MGCG6
2025-06-03,3492.8,3493.0,3440.0,3460.5,127.0,MGCG6
2025-06-04,3466.0,3491.6,3454.3,3482.6,62.0,MGCG6
2025-06-05,3483.9,3510.4,3445.0,3457.9,216.0,MGCG6
2025-06-06,3466.2,3476.6,3411.6,3429.4,89.0,MGCG6
2025-06-09,3419.0,3437.4,3400.0,3437.4,61.0,MGCG6
2025-06-10,3419.4,3452.1,3404.7,3426.3,45.0,MGCG6
2025-06-11,3429.2,3460.0,3425.0,3426.3,58.0,MGCG6
2025-06-12,3460.0,3499.3,3444.0,3484.1,234.0,MGCG6
2025-06-13,3487.9,3548.6,3487.9,3535.6,207.0,MGCG6
2025-06-16,3547.8,3555.0,3486.0,3499.8,271.0,MGCG6
2025-06-17,3498.9,3499.2,3469.1,3489.8,20.0,MGCG6
2025-06-18,3488.0,3500.6,3465.3,3490.9,77.0,MGCG6
2025-06-20,3474.5,3476.5,3438.7,3468.3,83.0,MGCG6
2025-06-23,3491.1,3491.2,3449.7,3477.2,90.0,MGCG6
2025-06-24,3456.6,3456.6,3390.0,3416.1,189.0,MGCG6
2025-06-25,3417.9,3432.0,3409.7,3425.6,53.0,MGCG6
2025-06-26,3430.5,3443.0,3407.0,3430.4,62.0,MGCG6
2025-06-27,3417.7,3417.7,3352.0,3369.3,139.0,MGCG6
2025-06-30,3368.3,3402.1,3338.4,3389.5,171.0,MGCG6
2025-07-01,3413.4,3451.0,3408.7,3431.7,230.0,MGCG6
2025-07-02,3436.3,3451.3,3420.0,3442.1,69.0,MGCG6
